id,language,buggy_code,fixed_code,description,label,time_to_fix,complexity_score,lines_of_code,bug_type,severity_level,date_reported,date_fixed,fix_status,developer_id
147,JavaScript,"let x = 10;
if(x = 5) {console.log('Bug');}","let x = 10;
if(x === 5) {console.log('Bug');}",Incorrect comparison operator.,buggy,247,5.05,21,Syntax,Low,2024-10-12,2020-12-21,Pending,2459
148,Python,"def add(a, b): return a - b","def add(a, b): return a + b",Incorrect operator usage.,fixed,129,1.37,25,Compilation,Low,2020-10-17,2021-04-13,Verified,2021
149,JavaScript,"let x = 10;
if(x = 5) {console.log('Bug');}","let x = 10;
if(x === 5) {console.log('Bug');}",Incorrect comparison operator.,buggy,209,1.1,26,Runtime,Critical,2021-07-13,2020-10-09,Verified,1100
150,JavaScript,"let x = 10;
if(x = 5) {console.log('Bug');}","let x = 10;
if(x === 5) {console.log('Bug');}",Incorrect comparison operator.,fixed,64,2.02,40,Compilation,Low,2023-10-22,2024-06-27,Fixed,2181
151,Python,"def add(a, b): return a - b","def add(a, b): return a + b",Incorrect operator usage.,buggy,42,8.92,22,Performance,Critical,2020-08-24,2024-01-26,Pending,1084
152,Java,if (x = 5) {System.out.println('Hello');},if (x == 5) {System.out.println('Hello');},Assignment instead of comparison.,fixed,42,9.92,32,Logic,High,2020-01-28,2023-03-16,Fixed,4553
153,C,"for(int i=0; i<10; i++) printf('%d', i);","for(int i=0; i<10; i++) { printf('%d', i); }",Missing braces in loop.,buggy,17,9.97,29,Syntax,Critical,2021-03-03,2024-05-09,Fixed,1342
154,C++,cout << Hello;,cout << 'Hello';,Missing quotes around string.,fixed,172,6.26,38,Performance,High,2020-12-16,2024-04-18,Verified,2293
155,Python,"def add(a, b): return a - b","def add(a, b): return a + b",Incorrect operator usage.,buggy,258,7.44,17,Security,High,2024-02-27,2021-07-17,Pending,1397
156,Python,"def add(a, b): return a - b","def add(a, b): return a + b",Incorrect operator usage.,fixed,188,7.93,12,Logic,Low,2022-02-17,2024-07-09,In-Progress,2683
157,C++,cout << Hello;,cout << 'Hello';,Missing quotes around string.,buggy,145,1.77,28,Performance,Critical,2024-10-18,2020-02-03,Verified,3950
158,JavaScript,"let x = 10;
if(x = 5) {console.log('Bug');}","let x = 10;
if(x === 5) {console.log('Bug');}",Incorrect comparison operator.,fixed,213,7.27,45,Runtime,Low,2024-02-29,2024-08-08,Verified,3267
159,Python,"def add(a, b): return a - b","def add(a, b): return a + b",Incorrect operator usage.,buggy,287,6.24,28,Syntax,Critical,2020-01-19,2020-12-19,Fixed,3005
160,JavaScript,"let x = 10;
if(x = 5) {console.log('Bug');}","let x = 10;
if(x === 5) {console.log('Bug');}",Incorrect comparison operator.,fixed,77,1.19,36,Syntax,Medium,2024-01-31,2023-10-30,Pending,1929
161,C,"for(int i=0; i<10; i++) printf('%d', i);","for(int i=0; i<10; i++) { printf('%d', i); }",Missing braces in loop.,buggy,88,2.7,12,Logic,Medium,2023-04-20,2023-01-09,In-Progress,2561
162,Java,if (x = 5) {System.out.println('Hello');},if (x == 5) {System.out.println('Hello');},Assignment instead of comparison.,fixed,28,4.88,35,Syntax,High,2020-03-19,2022-03-18,Verified,2367
163,JavaScript,"let x = 10;
if(x = 5) {console.log('Bug');}","let x = 10;
if(x === 5) {console.log('Bug');}",Incorrect comparison operator.,buggy,14,6.67,35,Compilation,High,2024-03-29,2022-11-23,Verified,2187
164,Java,if (x = 5) {System.out.println('Hello');},if (x == 5) {System.out.println('Hello');},Assignment instead of comparison.,fixed,104,9.76,40,Security,Critical,2024-01-06,2022-04-27,Verified,1162
165,Python,"def add(a, b): return a - b","def add(a, b): return a + b",Incorrect operator usage.,buggy,277,1.83,26,Syntax,Medium,2020-08-18,2022-09-03,Verified,2221
166,Python,"def add(a, b): return a - b","def add(a, b): return a + b",Incorrect operator usage.,fixed,215,7.37,31,Performance,Low,2023-05-03,2024-12-18,Verified,1292
167,C,"for(int i=0; i<10; i++) printf('%d', i);","for(int i=0; i<10; i++) { printf('%d', i); }",Missing braces in loop.,buggy,211,9.59,13,Security,High,2022-05-05,2023-01-07,Verified,3567
168,JavaScript,"let x = 10;
if(x = 5) {console.log('Bug');}","let x = 10;
if(x === 5) {console.log('Bug');}",Incorrect comparison operator.,fixed,117,4.31,18,Compilation,Low,2023-01-13,2021-10-15,Fixed,3748
169,JavaScript,"let x = 10;
if(x = 5) {console.log('Bug');}","let x = 10;
if(x === 5) {console.log('Bug');}",Incorrect comparison operator.,buggy,195,3.47,30,Runtime,Medium,2024-02-06,2024-01-24,In-Progress,4494
170,Python,"def add(a, b): return a - b","def add(a, b): return a + b",Incorrect operator usage.,fixed,24,7.46,40,Compilation,High,2022-03-18,2023-03-23,In-Progress,4343
171,C++,cout << Hello;,cout << 'Hello';,Missing quotes around string.,buggy,136,2.86,34,Logic,Medium,2021-04-22,2024-05-20,In-Progress,3017
172,JavaScript,"let x = 10;
if(x = 5) {console.log('Bug');}","let x = 10;
if(x === 5) {console.log('Bug');}",Incorrect comparison operator.,fixed,294,3.26,42,Logic,High,2023-01-25,2022-07-22,Verified,4538
173,C,"for(int i=0; i<10; i++) printf('%d', i);","for(int i=0; i<10; i++) { printf('%d', i); }",Missing braces in loop.,buggy,111,4.55,49,Runtime,Medium,2020-10-19,2023-03-25,Verified,2598
174,JavaScript,"let x = 10;
if(x = 5) {console.log('Bug');}","let x = 10;
if(x === 5) {console.log('Bug');}",Incorrect comparison operator.,fixed,125,1.93,22,Runtime,Low,2020-03-06,2021-12-23,Verified,2629
175,C,"for(int i=0; i<10; i++) printf('%d', i);","for(int i=0; i<10; i++) { printf('%d', i); }",Missing braces in loop.,buggy,235,2.71,32,Syntax,Low,2020-01-20,2021-10-12,Pending,4854
176,Java,if (x = 5) {System.out.println('Hello');},if (x == 5) {System.out.println('Hello');},Assignment instead of comparison.,fixed,95,6.37,12,Runtime,Medium,2020-11-10,2023-02-27,In-Progress,3538
177,C,"for(int i=0; i<10; i++) printf('%d', i);","for(int i=0; i<10; i++) { printf('%d', i); }",Missing braces in loop.,buggy,81,7.1,37,Security,Critical,2024-01-06,2022-01-04,Verified,4761
178,Python,"def add(a, b): return a - b","def add(a, b): return a + b",Incorrect operator usage.,fixed,232,8.4,24,Runtime,Critical,2020-11-24,2023-04-03,Fixed,3446
179,Java,if (x = 5) {System.out.println('Hello');},if (x == 5) {System.out.println('Hello');},Assignment instead of comparison.,buggy,131,1.49,20,Compilation,High,2020-12-11,2023-02-25,Pending,4741
180,C++,cout << Hello;,cout << 'Hello';,Missing quotes around string.,fixed,289,4.78,13,Compilation,Low,2024-11-12,2022-11-16,Fixed,4047
181,C++,cout << Hello;,cout << 'Hello';,Missing quotes around string.,buggy,273,3.32,23,Logic,Medium,2023-03-21,2023-11-18,Pending,4507
182,Java,if (x = 5) {System.out.println('Hello');},if (x == 5) {System.out.println('Hello');},Assignment instead of comparison.,fixed,33,4.99,6,Runtime,Medium,2021-09-06,2021-01-17,In-Progress,3461
183,JavaScript,"let x = 10;
if(x = 5) {console.log('Bug');}","let x = 10;
if(x === 5) {console.log('Bug');}",Incorrect comparison operator.,buggy,223,5.92,34,Runtime,Medium,2022-05-09,2021-08-20,Pending,1542
184,Java,if (x = 5) {System.out.println('Hello');},if (x == 5) {System.out.println('Hello');},Assignment instead of comparison.,fixed,97,1.46,40,Syntax,Medium,2022-12-16,2022-09-16,In-Progress,3035
185,C++,cout << Hello;,cout << 'Hello';,Missing quotes around string.,buggy,289,7.29,18,Runtime,Critical,2020-09-02,2022-01-20,Fixed,1455
186,C++,cout << Hello;,cout << 'Hello';,Missing quotes around string.,fixed,191,9.2,13,Performance,Medium,2020-08-18,2021-09-04,Fixed,3203
187,Java,if (x = 5) {System.out.println('Hello');},if (x == 5) {System.out.println('Hello');},Assignment instead of comparison.,buggy,152,5.86,34,Compilation,Medium,2022-04-20,2021-03-13,Verified,4623
188,C,"for(int i=0; i<10; i++) printf('%d', i);","for(int i=0; i<10; i++) { printf('%d', i); }",Missing braces in loop.,fixed,180,9.48,12,Syntax,Critical,2020-07-18,2024-09-28,Fixed,3644
189,C++,cout << Hello;,cout << 'Hello';,Missing quotes around string.,buggy,127,2.15,40,Logic,Low,2024-12-01,2022-08-07,Verified,3114
190,Java,if (x = 5) {System.out.println('Hello');},if (x == 5) {System.out.println('Hello');},Assignment instead of comparison.,fixed,186,4.44,6,Performance,Low,2021-06-12,2024-12-21,Fixed,4242
191,Java,if (x = 5) {System.out.println('Hello');},if (x == 5) {System.out.println('Hello');},Assignment instead of comparison.,buggy,198,4.46,27,Compilation,High,2024-07-04,2024-11-01,Fixed,1001
192,Python,"def add(a, b): return a - b","def add(a, b): return a + b",Incorrect operator usage.,fixed,40,1.93,7,Security,Low,2024-11-25,2024-10-26,Pending,3862
193,C,"for(int i=0; i<10; i++) printf('%d', i);","for(int i=0; i<10; i++) { printf('%d', i); }",Missing braces in loop.,buggy,234,6.06,5,Logic,Critical,2024-01-21,2022-11-24,Fixed,2614
194,Java,if (x = 5) {System.out.println('Hello');},if (x == 5) {System.out.println('Hello');},Assignment instead of comparison.,fixed,114,7.64,42,Performance,Medium,2022-06-08,2023-08-28,Pending,3087
195,C++,cout << Hello;,cout << 'Hello';,Missing quotes around string.,buggy,237,7.23,49,Security,Medium,2020-02-10,2023-01-08,Fixed,1652
196,Java,if (x = 5) {System.out.println('Hello');},if (x == 5) {System.out.println('Hello');},Assignment instead of comparison.,fixed,175,6.23,47,Compilation,High,2023-08-30,2022-04-18,Pending,4446
197,JavaScript,"let x = 10;
if(x = 5) {console.log('Bug');}","let x = 10;
if(x === 5) {console.log('Bug');}",Incorrect comparison operator.,buggy,296,5.31,29,Logic,Medium,2020-09-04,2024-08-18,In-Progress,3244
198,JavaScript,"let x = 10;
if(x = 5) {console.log('Bug');}","let x = 10;
if(x === 5) {console.log('Bug');}",Incorrect comparison operator.,fixed,95,2.74,44,Performance,Critical,2023-07-09,2024-01-08,In-Progress,1563
199,C,"for(int i=0; i<10; i++) printf('%d', i);","for(int i=0; i<10; i++) { printf('%d', i); }",Missing braces in loop.,buggy,91,1.09,45,Security,Medium,2022-09-19,2020-12-15,Fixed,3306
200,Java,if (x = 5) {System.out.println('Hello');},if (x == 5) {System.out.println('Hello');},Assignment instead of comparison.,fixed,77,3.13,7,Security,Low,2024-02-07,2021-04-14,In-Progress,2761
201,Python,"def add(a, b): return a - b","def add(a, b): return a + b",Incorrect operator usage.,buggy,168,4.98,41,Runtime,Critical,2022-10-23,2023-08-23,In-Progress,4139
202,JavaScript,"let x = 10;
if(x = 5) {console.log('Bug');}","let x = 10;
if(x === 5) {console.log('Bug');}",Incorrect comparison operator.,fixed,131,8.85,10,Runtime,Critical,2022-06-21,2023-07-14,Pending,1253
203,C++,cout << Hello;,cout << 'Hello';,Missing quotes around string.,buggy,97,1.22,32,Compilation,Critical,2021-12-20,2023-05-07,Pending,4625
204,Python,"def add(a, b): return a - b","def add(a, b): return a + b",Incorrect operator usage.,fixed,203,5.5,19,Compilation,Critical,2020-03-31,2023-02-16,Verified,4674
205,Python,"def add(a, b): return a - b","def add(a, b): return a + b",Incorrect operator usage.,buggy,127,2.36,48,Performance,Medium,2021-09-28,2024-09-05,Verified,1995
206,Python,"def add(a, b): return a - b","def add(a, b): return a + b",Incorrect operator usage.,fixed,89,3.85,26,Syntax,Low,2020-11-27,2020-04-22,Pending,1090
207,C++,cout << Hello;,cout << 'Hello';,Missing quotes around string.,buggy,61,1.96,9,Compilation,Low,2024-11-28,2023-07-17,Fixed,4926
208,JavaScript,"let x = 10;
if(x = 5) {console.log('Bug');}","let x = 10;
if(x === 5) {console.log('Bug');}",Incorrect comparison operator.,fixed,51,1.92,31,Performance,Low,2022-12-03,2022-01-26,Pending,3686
209,C++,cout << Hello;,cout << 'Hello';,Missing quotes around string.,buggy,226,2.91,47,Compilation,Critical,2020-06-14,2020-03-16,Verified,2755
210,Java,if (x = 5) {System.out.println('Hello');},if (x == 5) {System.out.println('Hello');},Assignment instead of comparison.,fixed,262,3.67,29,Syntax,Medium,2024-01-23,2020-08-07,Pending,1028
211,Java,if (x = 5) {System.out.println('Hello');},if (x == 5) {System.out.println('Hello');},Assignment instead of comparison.,buggy,159,8.62,43,Security,High,2024-08-18,2023-03-25,Fixed,3542
212,Python,"def add(a, b): return a - b","def add(a, b): return a + b",Incorrect operator usage.,fixed,95,1.5,36,Runtime,Critical,2021-05-08,2020-07-07,Fixed,4183
213,C++,cout << Hello;,cout << 'Hello';,Missing quotes around string.,buggy,259,1.37,43,Syntax,Medium,2023-07-01,2024-10-02,Pending,2485
214,Java,if (x = 5) {System.out.println('Hello');},if (x == 5) {System.out.println('Hello');},Assignment instead of comparison.,fixed,225,1.83,25,Syntax,Low,2023-05-02,2020-06-19,Fixed,1438
215,C,"for(int i=0; i<10; i++) printf('%d', i);","for(int i=0; i<10; i++) { printf('%d', i); }",Missing braces in loop.,buggy,141,3.74,8,Logic,High,2022-12-25,2024-04-09,Pending,2709
216,C++,cout << Hello;,cout << 'Hello';,Missing quotes around string.,fixed,142,5.48,13,Performance,Low,2021-03-27,2021-01-21,In-Progress,2025
217,JavaScript,"let x = 10;
if(x = 5) {console.log('Bug');}","let x = 10;
if(x === 5) {console.log('Bug');}",Incorrect comparison operator.,buggy,61,2.59,50,Security,High,2024-09-08,2021-02-26,Pending,1370
218,C++,cout << Hello;,cout << 'Hello';,Missing quotes around string.,fixed,231,2.11,33,Performance,Low,2020-11-08,2020-04-19,Verified,2579
219,Python,"def add(a, b): return a - b","def add(a, b): return a + b",Incorrect operator usage.,buggy,184,6.97,24,Runtime,Medium,2020-01-02,2023-10-10,Pending,2796
220,Python,"def add(a, b): return a - b","def add(a, b): return a + b",Incorrect operator usage.,fixed,49,3.05,15,Runtime,High,2022-08-11,2020-04-30,Pending,4687
221,JavaScript,"let x = 10;
if(x = 5) {console.log('Bug');}","let x = 10;
if(x === 5) {console.log('Bug');}",Incorrect comparison operator.,buggy,59,4.03,47,Security,Low,2020-04-08,2022-09-15,Pending,3572
222,Python,"def add(a, b): return a - b","def add(a, b): return a + b",Incorrect operator usage.,fixed,258,7.38,28,Compilation,Low,2023-09-17,2022-07-08,Verified,3146
223,Java,if (x = 5) {System.out.println('Hello');},if (x == 5) {System.out.println('Hello');},Assignment instead of comparison.,buggy,86,7.91,39,Compilation,Critical,2021-01-20,2021-05-31,Pending,3495
224,C,"for(int i=0; i<10; i++) printf('%d', i);","for(int i=0; i<10; i++) { printf('%d', i); }",Missing braces in loop.,fixed,204,8.45,39,Runtime,Medium,2023-04-09,2022-09-02,Fixed,2595
225,JavaScript,"let x = 10;
if(x = 5) {console.log('Bug');}","let x = 10;
if(x === 5) {console.log('Bug');}",Incorrect comparison operator.,buggy,183,9.69,47,Logic,High,2023-03-27,2021-09-07,In-Progress,4741
226,Java,if (x = 5) {System.out.println('Hello');},if (x == 5) {System.out.println('Hello');},Assignment instead of comparison.,fixed,167,1.79,11,Logic,Low,2023-07-29,2023-10-22,Verified,4545
227,Python,"def add(a, b): return a - b","def add(a, b): return a + b",Incorrect operator usage.,buggy,264,2.43,10,Runtime,Low,2024-08-15,2023-04-05,In-Progress,4656
228,C++,cout << Hello;,cout << 'Hello';,Missing quotes around string.,fixed,164,2.33,16,Security,Low,2021-08-27,2021-09-10,Verified,4182
229,Python,"def add(a, b): return a - b","def add(a, b): return a + b",Incorrect operator usage.,buggy,288,4.59,8,Security,High,2021-01-17,2023-07-16,In-Progress,4668
230,Python,"def add(a, b): return a - b","def add(a, b): return a + b",Incorrect operator usage.,fixed,175,6.14,14,Compilation,Critical,2022-11-14,2022-10-04,Fixed,4833
231,JavaScript,"let x = 10;
if(x = 5) {console.log('Bug');}","let x = 10;
if(x === 5) {console.log('Bug');}",Incorrect comparison operator.,buggy,53,4.3,33,Logic,High,2024-06-11,2021-12-25,Pending,1499
232,C++,cout << Hello;,cout << 'Hello';,Missing quotes around string.,fixed,107,2.58,19,Compilation,Critical,2020-09-11,2021-06-20,Pending,2867
233,JavaScript,"let x = 10;
if(x = 5) {console.log('Bug');}","let x = 10;
if(x === 5) {console.log('Bug');}",Incorrect comparison operator.,buggy,136,7.29,45,Performance,High,2022-12-11,2022-10-21,Pending,3511
234,C++,cout << Hello;,cout << 'Hello';,Missing quotes around string.,fixed,219,4.17,35,Syntax,Critical,2024-12-23,2024-08-29,In-Progress,4462
235,Java,if (x = 5) {System.out.println('Hello');},if (x == 5) {System.out.println('Hello');},Assignment instead of comparison.,buggy,142,4.7,22,Logic,Critical,2023-01-28,2021-10-09,Fixed,3651
236,JavaScript,"let x = 10;
if(x = 5) {console.log('Bug');}","let x = 10;
if(x === 5) {console.log('Bug');}",Incorrect comparison operator.,fixed,21,1.75,26,Syntax,Low,2022-10-20,2021-08-28,In-Progress,3249
237,JavaScript,"let x = 10;
if(x = 5) {console.log('Bug');}","let x = 10;
if(x === 5) {console.log('Bug');}",Incorrect comparison operator.,buggy,285,8.66,26,Security,High,2021-03-21,2024-06-06,Fixed,3299
238,Python,"def add(a, b): return a - b","def add(a, b): return a + b",Incorrect operator usage.,fixed,236,7.54,43,Performance,Low,2023-08-19,2022-02-25,Fixed,3829
239,Java,if (x = 5) {System.out.println('Hello');},if (x == 5) {System.out.println('Hello');},Assignment instead of comparison.,buggy,55,8.2,49,Runtime,Low,2021-03-30,2024-12-31,In-Progress,3005
240,C++,cout << Hello;,cout << 'Hello';,Missing quotes around string.,fixed,295,8.84,48,Performance,Low,2020-11-10,2020-03-04,Fixed,4304
241,Python,"def add(a, b): return a - b","def add(a, b): return a + b",Incorrect operator usage.,buggy,139,7.82,27,Runtime,Medium,2023-01-29,2022-04-29,Fixed,3404
242,JavaScript,"let x = 10;
if(x = 5) {console.log('Bug');}","let x = 10;
if(x === 5) {console.log('Bug');}",Incorrect comparison operator.,fixed,46,7.61,42,Runtime,Critical,2022-02-02,2024-06-28,Verified,3945
243,C++,cout << Hello;,cout << 'Hello';,Missing quotes around string.,buggy,180,2.28,46,Compilation,Medium,2021-09-06,2024-05-01,Fixed,3382
244,JavaScript,"let x = 10;
if(x = 5) {console.log('Bug');}","let x = 10;
if(x === 5) {console.log('Bug');}",Incorrect comparison operator.,fixed,138,4.52,38,Runtime,Critical,2023-05-25,2021-12-26,Pending,3662
245,Java,if (x = 5) {System.out.println('Hello');},if (x == 5) {System.out.println('Hello');},Assignment instead of comparison.,buggy,17,5.62,42,Logic,Medium,2024-04-27,2021-10-10,Verified,3547
246,Java,if (x = 5) {System.out.println('Hello');},if (x == 5) {System.out.println('Hello');},Assignment instead of comparison.,fixed,220,3.67,38,Compilation,Critical,2020-03-12,2024-09-24,Fixed,1362
247,Java,if (x = 5) {System.out.println('Hello');},if (x == 5) {System.out.println('Hello');},Assignment instead of comparison.,buggy,268,5.14,27,Runtime,High,2020-06-13,2022-09-20,Pending,1710
248,JavaScript,"let x = 10;
if(x = 5) {console.log('Bug');}","let x = 10;
if(x === 5) {console.log('Bug');}",Incorrect comparison operator.,fixed,275,2.45,34,Performance,High,2020-03-28,2020-01-03,Pending,3476
249,JavaScript,"let x = 10;
if(x = 5) {console.log('Bug');}","let x = 10;
if(x === 5) {console.log('Bug');}",Incorrect comparison operator.,buggy,258,5.57,35,Logic,Critical,2023-01-18,2020-06-14,Verified,3562
250,Java,if (x = 5) {System.out.println('Hello');},if (x == 5) {System.out.println('Hello');},Assignment instead of comparison.,fixed,151,9.87,13,Runtime,High,2021-04-20,2022-03-17,In-Progress,3277
251,C,"for(int i=0; i<10; i++) printf('%d', i);","for(int i=0; i<10; i++) { printf('%d', i); }",Missing braces in loop.,buggy,144,4.76,48,Security,Critical,2024-06-16,2024-10-10,Fixed,4756
252,Python,"def add(a, b): return a - b","def add(a, b): return a + b",Incorrect operator usage.,fixed,19,5.31,17,Syntax,Low,2021-10-04,2021-07-04,Fixed,1514
253,C,"for(int i=0; i<10; i++) printf('%d', i);","for(int i=0; i<10; i++) { printf('%d', i); }",Missing braces in loop.,buggy,243,9.85,24,Syntax,Critical,2022-11-22,2024-06-17,Verified,4761
254,Python,"def add(a, b): return a - b","def add(a, b): return a + b",Incorrect operator usage.,fixed,28,6.08,44,Logic,High,2021-05-21,2024-12-04,Pending,3454
255,Python,"def add(a, b): return a - b","def add(a, b): return a + b",Incorrect operator usage.,buggy,94,8.35,38,Syntax,High,2023-03-05,2022-03-13,Pending,4973
256,Python,"def add(a, b): return a - b","def add(a, b): return a + b",Incorrect operator usage.,fixed,193,1.05,13,Security,High,2021-06-29,2023-07-25,Pending,4304
257,JavaScript,"let x = 10;
if(x = 5) {console.log('Bug');}","let x = 10;
if(x === 5) {console.log('Bug');}",Incorrect comparison operator.,buggy,124,2.27,36,Logic,Low,2024-06-27,2020-11-01,Verified,2605
258,Java,if (x = 5) {System.out.println('Hello');},if (x == 5) {System.out.println('Hello');},Assignment instead of comparison.,fixed,248,7.52,46,Compilation,Medium,2020-11-20,2021-10-25,Fixed,1087
259,C++,cout << Hello;,cout << 'Hello';,Missing quotes around string.,buggy,22,8.82,23,Compilation,Critical,2022-03-25,2023-03-28,In-Progress,3895
260,Java,if (x = 5) {System.out.println('Hello');},if (x == 5) {System.out.println('Hello');},Assignment instead of comparison.,fixed,122,6.5,28,Security,High,2023-02-23,2020-06-21,Fixed,1564
261,C,"for(int i=0; i<10; i++) printf('%d', i);","for(int i=0; i<10; i++) { printf('%d', i); }",Missing braces in loop.,buggy,165,6.89,17,Logic,Low,2021-07-18,2023-07-07,Verified,3680
262,JavaScript,"let x = 10;
if(x = 5) {console.log('Bug');}","let x = 10;
if(x === 5) {console.log('Bug');}",Incorrect comparison operator.,fixed,76,6.91,30,Performance,Medium,2020-01-23,2022-08-16,Verified,4212
263,C,"for(int i=0; i<10; i++) printf('%d', i);","for(int i=0; i<10; i++) { printf('%d', i); }",Missing braces in loop.,buggy,206,8.82,50,Compilation,Medium,2023-07-12,2021-11-12,Verified,1784
264,Java,if (x = 5) {System.out.println('Hello');},if (x == 5) {System.out.println('Hello');},Assignment instead of comparison.,fixed,78,7.04,19,Security,High,2023-09-25,2024-03-07,In-Progress,4419
265,C++,cout << Hello;,cout << 'Hello';,Missing quotes around string.,buggy,267,7.21,36,Syntax,Low,2023-03-10,2022-02-01,Fixed,4672
266,C,"for(int i=0; i<10; i++) printf('%d', i);","for(int i=0; i<10; i++) { printf('%d', i); }",Missing braces in loop.,fixed,13,4.04,41,Security,Critical,2020-11-06,2024-10-19,In-Progress,3945
267,C,"for(int i=0; i<10; i++) printf('%d', i);","for(int i=0; i<10; i++) { printf('%d', i); }",Missing braces in loop.,buggy,205,9.37,10,Logic,High,2024-02-25,2022-10-31,In-Progress,1742
268,JavaScript,"let x = 10;
if(x = 5) {console.log('Bug');}","let x = 10;
if(x === 5) {console.log('Bug');}",Incorrect comparison operator.,fixed,147,1.04,6,Security,Critical,2022-08-20,2020-01-22,Verified,1526
269,JavaScript,"let x = 10;
if(x = 5) {console.log('Bug');}","let x = 10;
if(x === 5) {console.log('Bug');}",Incorrect comparison operator.,buggy,183,9.19,23,Security,Critical,2022-02-18,2024-08-17,Pending,4717
270,JavaScript,"let x = 10;
if(x = 5) {console.log('Bug');}","let x = 10;
if(x === 5) {console.log('Bug');}",Incorrect comparison operator.,fixed,26,5.75,16,Security,Low,2023-09-28,2024-09-03,Fixed,1916
271,C,"for(int i=0; i<10; i++) printf('%d', i);","for(int i=0; i<10; i++) { printf('%d', i); }",Missing braces in loop.,buggy,171,8.41,46,Security,High,2024-02-08,2023-10-28,Verified,4225
272,Java,if (x = 5) {System.out.println('Hello');},if (x == 5) {System.out.println('Hello');},Assignment instead of comparison.,fixed,211,6.28,37,Performance,Medium,2023-09-27,2024-05-26,Pending,4711
273,C++,cout << Hello;,cout << 'Hello';,Missing quotes around string.,buggy,131,2.46,42,Performance,Critical,2020-04-24,2023-09-23,Fixed,1268
274,Java,if (x = 5) {System.out.println('Hello');},if (x == 5) {System.out.println('Hello');},Assignment instead of comparison.,fixed,116,4.08,10,Runtime,Low,2022-09-18,2023-05-01,Pending,3789
275,JavaScript,"let x = 10;
if(x = 5) {console.log('Bug');}","let x = 10;
if(x === 5) {console.log('Bug');}",Incorrect comparison operator.,buggy,42,3.76,42,Logic,Medium,2020-06-07,2021-08-05,Verified,4201
276,C++,cout << Hello;,cout << 'Hello';,Missing quotes around string.,fixed,281,2.65,45,Logic,Critical,2023-10-16,2023-07-08,In-Progress,1827
277,C++,cout << Hello;,cout << 'Hello';,Missing quotes around string.,buggy,244,7.49,47,Compilation,Medium,2023-06-11,2023-10-30,Pending,2948
278,C,"for(int i=0; i<10; i++) printf('%d', i);","for(int i=0; i<10; i++) { printf('%d', i); }",Missing braces in loop.,fixed,219,5.06,5,Performance,Medium,2023-03-02,2024-11-15,Pending,4122
279,Python,"def add(a, b): return a - b","def add(a, b): return a + b",Incorrect operator usage.,buggy,98,5.02,11,Compilation,Low,2023-05-08,2023-05-25,Verified,3031
280,Java,if (x = 5) {System.out.println('Hello');},if (x == 5) {System.out.println('Hello');},Assignment instead of comparison.,fixed,57,8.39,19,Logic,Medium,2022-01-28,2020-07-12,In-Progress,2011
281,Java,if (x = 5) {System.out.println('Hello');},if (x == 5) {System.out.println('Hello');},Assignment instead of comparison.,buggy,120,9.44,50,Runtime,Low,2022-01-03,2024-01-12,Fixed,4332
282,C,"for(int i=0; i<10; i++) printf('%d', i);","for(int i=0; i<10; i++) { printf('%d', i); }",Missing braces in loop.,fixed,38,8.06,50,Logic,Critical,2020-04-06,2021-11-19,Verified,4044
283,C,"for(int i=0; i<10; i++) printf('%d', i);","for(int i=0; i<10; i++) { printf('%d', i); }",Missing braces in loop.,buggy,76,4.38,20,Syntax,High,2022-12-22,2024-12-10,In-Progress,2363
284,C++,cout << Hello;,cout << 'Hello';,Missing quotes around string.,fixed,49,8.89,17,Runtime,High,2022-03-24,2024-06-07,Fixed,3072
285,Java,if (x = 5) {System.out.println('Hello');},if (x == 5) {System.out.println('Hello');},Assignment instead of comparison.,buggy,222,6.93,22,Syntax,Critical,2022-03-08,2020-01-14,Pending,2740
286,C++,cout << Hello;,cout << 'Hello';,Missing quotes around string.,fixed,292,3.7,41,Logic,High,2022-02-21,2020-02-03,Pending,1902
287,C++,cout << Hello;,cout << 'Hello';,Missing quotes around string.,buggy,263,1.74,39,Performance,Critical,2021-07-26,2024-06-28,In-Progress,1707
288,JavaScript,"let x = 10;
if(x = 5) {console.log('Bug');}","let x = 10;
if(x === 5) {console.log('Bug');}",Incorrect comparison operator.,fixed,258,9.77,50,Runtime,Low,2023-12-08,2021-07-26,Fixed,4045
289,C,"for(int i=0; i<10; i++) printf('%d', i);","for(int i=0; i<10; i++) { printf('%d', i); }",Missing braces in loop.,buggy,111,6.14,10,Compilation,Low,2022-05-08,2024-11-16,Verified,1829
290,C,"for(int i=0; i<10; i++) printf('%d', i);","for(int i=0; i<10; i++) { printf('%d', i); }",Missing braces in loop.,fixed,119,1.9,40,Compilation,Low,2022-11-11,2024-09-25,Verified,3702
291,JavaScript,"let x = 10;
if(x = 5) {console.log('Bug');}","let x = 10;
if(x === 5) {console.log('Bug');}",Incorrect comparison operator.,buggy,120,7.88,20,Runtime,Critical,2021-01-31,2024-08-02,Pending,1043
292,JavaScript,"let x = 10;
if(x = 5) {console.log('Bug');}","let x = 10;
if(x === 5) {console.log('Bug');}",Incorrect comparison operator.,fixed,71,7.2,36,Compilation,Critical,2024-12-21,2021-10-29,Verified,2441
293,Java,if (x = 5) {System.out.println('Hello');},if (x == 5) {System.out.println('Hello');},Assignment instead of comparison.,buggy,83,9.65,15,Compilation,Low,2021-09-05,2023-01-28,In-Progress,4838
